time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/03/24/13:38:59.201026,216,1679679539,200402498,GPS1_FRAME,42.340646666666665,-71.091105,16.1,1.3,327742.75805686053,4689716.657510389,173859.0,19,T
2023/03/24/13:39:00.203676,217,1679679540,203033924,GPS1_FRAME,42.34068166666667,-71.09112,16.1,1.2,327741.6179428607,4689720.574385547,173900.0,19,T
2023/03/24/13:39:01.201975,218,1679679541,201194286,GPS1_FRAME,42.34071333333333,-71.09112833333333,16.3,1.2,327741.01792428177,4689724.107612938,173901.0,19,T
2023/03/24/13:39:02.202525,219,1679679542,201689243,GPS1_FRAME,42.340741666666666,-71.09113833333333,17.2,1.2,327740.2715042777,4689727.274075543,173902.0,19,T
2023/03/24/13:39:03.204675,220,1679679543,201592206,GPS1_FRAME,42.34076,-71.09114833333334,17.2,1.2,327739.4977759306,4689729.330113725,173903.0,19,T
2023/03/24/13:39:04.202723,221,1679679544,202080011,GPS1_FRAME,42.34077333333333,-71.09115666666666,17.1,1.2,327738.84769256064,4689730.827563074,173904.0,19,T
2023/03/24/13:39:05.201257,222,1679679545,200593948,GPS1_FRAME,42.34079166666667,-71.09116666666667,17.1,1.2,327738.0739650987,4689732.883601449,173905.0,19,T
2023/03/24/13:39:06.201710,223,1679679546,200799703,GPS1_FRAME,42.34082,-71.091175,16.8,1.2,327737.4648466595,4689736.046687777,173906.0,19,T
2023/03/24/13:39:07.202768,224,1679679547,202167034,GPS1_FRAME,42.34086,-71.09117666666667,16.4,1.2,327737.43678579386,4689740.491762675,173907.0,19,T
2023/03/24/13:39:08.202817,225,1679679548,202069997,GPS1_FRAME,42.340905,-71.09116833333333,16.0,1.2,327738.24617291405,4689745.471789712,173908.0,19,T
2023/03/24/13:39:09.201285,226,1679679549,200977802,GPS1_FRAME,42.34095333333333,-71.09115166666666,16.1,1.2,327739.75115586375,4689750.805075028,173909.0,19,T
2023/03/24/13:39:10.202421,227,1679679550,201991319,GPS1_FRAME,42.341005,-71.091125,15.9,1.2,327742.08903147315,4689756.488242407,173910.0,19,T
2023/03/24/13:39:11.201749,228,1679679551,200677871,GPS1_FRAME,42.341055,-71.09109333333333,15.6,1.3,327744.8342476636,4689761.976210022,173911.0,19,T
2023/03/24/13:39:12.200031,229,1679679552,199175596,GPS1_FRAME,42.34110666666667,-71.09106166666666,15.0,1.3,327747.58401120326,4689767.649249396,173912.0,19,T
2023/03/24/13:39:13.199549,230,1679679553,198874950,GPS1_FRAME,42.341161666666665,-71.09102666666666,14.6,1.3,327750.61746971915,4689773.685678367,173913.0,19,T
2023/03/24/13:39:14.203110,231,1679679554,202453851,GPS1_FRAME,42.34121833333333,-71.09098833333333,14.5,1.3,327753.93007084774,4689779.900426515,173914.0,19,T
2023/03/24/13:39:15.200143,232,1679679555,199141025,GPS1_FRAME,42.341278333333335,-71.09094666666667,14.4,1.3,327757.5263647391,4689786.478564978,173915.0,19,T
2023/03/24/13:39:16.201759,233,1679679556,200331687,GPS1_FRAME,42.341341666666665,-71.09090166666667,14.1,1.3,327761.406350094,4689793.420094161,173916.0,19,T
2023/03/24/13:39:17.200453,234,1679679557,199780941,GPS1_FRAME,42.34140333333333,-71.09086,14.1,1.3,327765.00718179054,4689800.183306951,173917.0,19,T
2023/03/24/13:39:18.199193,235,1679679558,198482751,GPS1_FRAME,42.34147,-71.09081333333333,13.8,1.3,327769.03355231613,4689807.491605399,173918.0,19,T
2023/03/24/13:39:19.201890,236,1679679559,201268434,GPS1_FRAME,42.34154,-71.09076666666667,13.7,1.3,327773.06901644357,4689815.170047539,173919.0,19,T
2023/03/24/13:39:20.200858,237,1679679560,200178146,GPS1_FRAME,42.341611666666665,-71.09072166666667,13.6,1.3,327776.97172566224,4689823.036938578,173920.0,19,T
2023/03/24/13:39:21.199645,238,1679679561,199071407,GPS1_FRAME,42.341683333333336,-71.090675,13.6,1.3,327781.0117238305,4689830.900455724,173921.0,19,T
2023/03/24/13:39:22.199546,239,1679679562,198917627,GPS1_FRAME,42.34175666666667,-71.09062666666667,13.9,1.3,327785.19356095395,4689838.945669979,173922.0,19,T
2023/03/24/13:39:23.200459,240,1679679563,199433565,GPS1_FRAME,42.341831666666664,-71.09058,14.3,1.3,327789.2426426518,4689847.17933307,173923.0,19,T
2023/03/24/13:39:24.207764,241,1679679564,207106351,GPS1_FRAME,42.34190666666667,-71.09053333333334,14.2,1.3,327793.2917154885,4689855.412998319,173924.0,19,T
2023/03/24/13:39:25.203254,242,1679679565,202477455,GPS1_FRAME,42.34198,-71.09048833333334,15.3,1.2,327797.1989327988,4689863.464970546,173925.0,19,T
2023/03/24/13:39:26.201999,243,1679679566,201074361,GPS1_FRAME,42.34205,-71.090445,16.5,1.2,327800.9597452366,4689871.150178744,173926.0,19,T
2023/03/24/13:39:27.201080,244,1679679567,200097322,GPS1_FRAME,42.34211833333333,-71.09040666666667,17.6,1.2,327804.30411146744,4689878.660444417,173927.0,19,T
2023/03/24/13:39:28.200932,245,1679679568,200192928,GPS1_FRAME,42.34219,-71.09037166666667,18.8,1.2,327807.38297894853,4689886.547603958,173928.0,19,T
2023/03/24/13:39:29.198058,246,1679679569,197293519,GPS1_FRAME,42.34226833333334,-71.09035,18.9,1.3,327809.3816729221,4689895.202050848,173929.0,19,T
2023/03/24/13:39:30.197403,247,1679679570,196973562,GPS1_FRAME,42.34234166666667,-71.090335,19.2,1.3,327810.817530422,4689903.314787306,173930.0,19,T
2023/03/24/13:39:31.199100,248,1679679571,198397874,GPS1_FRAME,42.34241333333333,-71.09031833333333,19.5,1.3,327812.3861309943,4689911.239077932,173931.0,19,T
2023/03/24/13:39:32.199616,249,1679679572,198686838,GPS1_FRAME,42.34247666666667,-71.090305,19.3,1.3,327813.65738879784,4689918.24476554,173932.0,19,T
